id,bbox,result
3-001,"[130.18131494522095, 46.29635823135699, 130.1840615272522, 46.29825588989926]",1
3-002,"[113.76088500022888, 44.166629368063695, 113.76363158226013, 44.168599503865195]",1
3-003,"[107.5600790977478, 37.46781615995126, 107.56282567977905, 37.46999607704479]",0
3-004,"[104.47569966316223, 26.9556992359115, 104.47844624519348, 26.95814739520199]",1
3-005,"[120.413578748703, 33.514643980933755, 120.41632533073425, 33.516933898915404]",0
3-006,"[121.76056265830994, 42.38697521376134, 121.76330924034119, 42.38900383011222]",1
3-007,"[90.81927537918091, 44.907676914703266, 90.82202196121216, 44.90962213547461]",1
3-008,"[110.29123306274414, 38.62699621233108, 110.29397964477539, 38.629141882702946]",1
3-009,"[120.06962299346924, 43.67056453038037, 120.07236957550049, 43.67255116067644]",1
3-010,"[95.96398830413818, 40.78195500260457, 95.96673488616943, 40.784034684182096]",1
3-011,"[105.35940170288086, 37.303304958351404, 105.36214828491211, 37.30548966377514]",1
3-012,"[115.80692768096924, 41.39277917320629, 115.80967426300049, 41.39483961102922]",1
3-013,"[122.12918400764465, 44.78150758609767, 122.1319305896759, 44.7834570719527]",1
3-014,"[112.96770215034485, 39.846157638675365, 112.9704487323761, 39.84826634298566]",1
3-015,"[121.42776489257812, 32.276429444821375, 121.43051147460938, 32.27875159962948]",1
3-016,"[121.4145576953888, 32.23620864363415, 121.41730427742004, 32.23853182748302]",1
3-017,"[114.31338787078857, 41.27482311437539, 114.31613445281982, 41.27688728666531]",1
3-018,"[103.80702495574951, 24.432283453161098, 103.80977153778076, 24.43478405604426]",1
3-019,"[131.266987323761, 46.679152815053136, 131.26973390579224, 46.68103716573348]",1
3-020,"[121.71020150184631, 42.40655337851715, 121.71294808387756, 42.4085813620612]",1
3-021,"[109.92204308509827, 41.61139957215955, 109.92478966712952, 41.6134530654223]",1
3-022,"[106.52003645896912, 36.522423566039414, 106.52278304100037, 36.524630753809575]",1
3-023,"[117.92983174324036, 42.80919200321149, 117.9325783252716, 42.8112069202413]",1
3-024,"[122.99243688583374, 45.718832440464205, 122.99518346786499, 45.720750016223555]",0
3-025,"[111.99975728988647, 36.818337893965534, 112.00250387191772, 36.820536610086826]",1
3-026,"[112.24425673484802, 33.25415653882675, 112.24700331687927, 33.25645332791316]",1
3-027,"[87.6773464679718, 43.51697640437974, 87.68009305000305, 43.51896811145372]",1
3-028,"[102.92900919914246, 25.107887304226207, 102.9317557811737, 25.110374337512305]",0
3-029,"[111.45044088363647, 41.627152042702185, 111.45318746566772, 41.629205034425844]",1
3-030,"[92.79976487159729, 44.2459060966052, 92.80251145362854, 44.24787358268336]",1
3-031,"[105.06505608558655, 37.53396874386809, 105.0678026676178, 37.53614673042921]",0
3-032,"[92.73160457611084, 44.22538190921917, 92.73435115814209, 44.22735008165361]",1
3-033,"[113.59401941299438, 41.71746186736227, 113.59676599502563, 41.71951198073954]",1
3-034,"[110.95835208892822, 25.505757335736735, 110.96109867095947, 25.50823621584661]",1
3-035,"[108.73122811317444, 37.45608949973013, 108.73397469520569, 37.458269758739945]",1
3-036,"[106.22236490249634, 36.88874270096469, 106.22511148452759, 36.890939392841425]",1
3-037,"[121.96037650108337, 29.583151643871936, 121.96312308311462, 29.585540153590618]",1
3-038,"[105.5256450176239, 31.81538350352689, 105.52839159965515, 31.817717385353664]",1
3-039,"[110.0115430355072, 41.65700219887835, 110.01428961753845, 41.65905423978453]",1
3-040,"[103.11704277992249, 27.125194306090453, 103.11978936195374, 27.12763877145465]",1
3-041,"[88.2576048374176, 43.49797408148403, 88.26035141944885, 43.49996641567609]",1
3-042,"[107.49345302581787, 37.0593125401737, 107.49619960784912, 37.061504314164445]",1
3-043,"[110.08691310882568, 41.51758318717678, 110.08965969085693, 41.519639664220485]",1
3-044,"[103.86457443237305, 24.49886460508193, 103.8673210144043, 24.501363886086267]",1
3-045,"[102.31739044189453, 39.0156576391367, 102.32013702392578, 39.01779162963566]",1
3-046,"[116.18408918380737, 41.48512075650662, 116.18683576583862, 41.487178264717414]",1
3-047,"[113.21775913238525, 35.54698900083313, 113.2205057144165, 35.549223695957735]",1
3-048,"[122.58327126502991, 44.76247379569548, 122.58601784706116, 44.76442392415708]",1
3-049,"[121.97627663612366, 44.42808742113488, 121.97902321815491, 44.430048803770276]",1
3-050,"[99.84449028968811, 26.053332306346988, 99.84723687171936, 26.055799770145633]",1
3-051,"[114.66893076896667, 41.885266061520554, 114.67167735099792, 41.887310813139784]",1
3-052,"[130.00513672828674, 44.572111889301844, 130.007883310318, 44.5740684327889]",1
3-053,"[120.30801773071289, 34.10044258383468, 120.31076431274414, 34.10271687701368]",1
3-054,"[87.76486158370972, 43.5558805858282, 87.76760816574097, 43.557871008296075]",1
3-055,"[115.81820368766785, 34.9936433999119, 115.8209502696991, 34.99589341203311]",1
3-056,"[115.66311836242676, 44.32935109802684, 115.66586494445801, 44.33131579099383]",1
3-057,"[116.42025232315063, 41.993579600448754, 116.42299890518188, 41.9956208818666]",1
3-058,"[107.75172829627991, 42.03649650901818, 107.75447487831116, 42.038536413424936]",1
