id,bbox,result
4-001,"[104.92842435836792, 25.721218424591534, 104.93117094039917, 25.723692839542935]",1
4-002,"[112.06053614616394, 38.05057499928288, 112.06328272819519, 38.052737810049045]",0
4-003,"[120.72812676429749, 37.37525588002, 120.73087334632874, 37.37743849342446]",0
4-004,"[116.24690651893616, 42.02192841351168, 116.24965310096741, 42.023968785471624]",0
4-005,"[133.59534859657288, 47.645788302786194, 133.59809517860413, 47.64763867536901]",0
4-006,"[111.34312033653259, 24.66726912958585, 111.34586691856384, 24.66976505208656]",0
4-007,"[106.06771945953369, 34.89296246474887, 106.07046604156494, 34.8952152412662]",0
4-008,"[116.04294061660767, 43.491506324856275, 116.04568719863892, 43.49349887244842]",0
4-009,"[109.84752058982849, 41.2951555905338, 109.85026717185974, 41.29721911972487]",0
4-010,"[94.30541753768921, 39.15926624092344, 94.30816411972046, 39.16139589089134]",0
4-011,"[108.9757490158081, 38.29759079680469, 108.97849559783936, 38.29974628903965]",0
4-012,"[122.5075900554657, 44.73562998982245, 122.51033663749695, 44.73758102420155]",0
4-013,"[120.45980930328369, 48.97961845044569, 120.46255588531494, 48.98142107504626]",0
4-014,"[123.3613908290863, 44.59569302372162, 123.36413741111755, 44.597648773716095]",1
4-015,"[91.39127254486084, 43.224129330953296, 91.39401912689209, 43.226130678251124]",1
4-016,"[117.36213684082031, 37.34198021615485, 117.36488342285156, 37.34416379749862]",0
4-017,"[116.23546957969666, 43.49177874735194, 116.2382161617279, 43.493771285956164]",0
4-018,"[114.03972744941711, 41.40670195503595, 114.04247403144836, 41.40876195148969]",0
4-019,"[115.42585015296936, 43.87273830525732, 115.42859673500061, 43.87471823104502]",0
4-020,"[91.1836588382721, 44.37583373497569, 91.18640542030334, 44.37779687024603]",0
4-021,"[97.894127368927, 39.888245327878465, 97.89687395095825, 39.890352738907566]",0
4-022,"[113.56107115745544, 32.040349154037685, 113.5638177394867, 32.04267733254074]",0
4-023,"[102.04420208930969, 25.57078193623492, 102.04694867134094, 25.57325947248248]",1
4-024,"[112.07502007484436, 31.323452053733515, 112.07776665687561, 31.325798281517272]",0
4-025,"[106.4928388595581, 34.96558336782586, 106.49558544158936, 34.96783415108994]",0
4-026,"[114.14338946342468, 39.60593615881524, 114.14613604545593, 39.608052222911226]",0
4-027,"[96.8398904800415, 40.754198019959084, 96.84263706207275, 40.75627857041077]",0
4-028,"[121.66507601737976, 46.09207309792765, 121.66782259941101, 46.09397782382271]",0
