id,bbox,result
2-001,"[124.7673511505127, 46.21356825377703, 124.77009773254395, 46.21546877939473]",1
2-002,"[131.6804552078247, 46.98470257956341, 131.68320178985596, 46.986576247410724]",1
2-003,"[114.54521656036377, 35.88408678833333, 114.54796314239502, 35.88631205010066]",1
2-004,"[119.81733441352844, 35.97993361255942, 119.82008099555969, 35.982156178067704]",1
2-005,"[99.26753640174866, 24.748799483490284, 99.27028298377991, 24.751293772277247]",1
2-006,"[119.44628834724426, 28.014672777205565, 119.44903492927551, 28.017097507609854]",1
2-007,"[106.52252554893494, 37.46446100709327, 106.52527213096619, 37.466641022022905]",1
2-008,"[109.6049952507019, 41.781897014822896, 109.60774183273315, 41.78394507141539]",1
2-009,"[112.78071999549866, 25.53231548489968, 112.78346657752991, 25.534793816518338]",1
2-010,"[115.46802520751953, 43.67354445116425, 115.47077178955078, 43.675530982819254]",1
2-011,"[108.31971287727356, 37.47232068421514, 108.32245945930481, 37.47450046994521]",1
2-012,"[113.7225079536438, 31.943559204715022, 113.72525453567505, 31.94588984143874]",1
2-013,"[116.01194500923157, 24.714907273759774, 116.01469159126282, 24.717402242295925]",1
2-014,"[122.14833498001099, 44.82472350151273, 122.15108156204224, 44.826671527541215]",1
2-015,"[104.72695827484131, 27.003027256353015, 104.72970485687256, 27.005474386344876]",1
2-016,"[118.04393291473389, 42.670445989129746, 118.04667949676514, 42.67246542004332]",1
2-017,"[119.9168336391449, 41.91882844653395, 119.91958022117615, 41.92087212364602]",1
2-018,"[122.16513633728027, 44.79409431739388, 122.16788291931152, 44.796043378185615]",1
2-019,"[101.69900178909302, 25.391111434544378, 101.70174837112427, 25.39359267626122]",1
2-020,"[123.36987733840942, 45.525833015947114, 123.37262392044067, 45.5277572043752]",1
2-021,"[117.43402004241943, 32.67198368544442, 117.43676662445068, 32.67429565919681]",1
2-022,"[119.0172529220581, 36.158658365244854, 119.01999950408936, 36.16087588645659]",1
2-023,"[120.21317481994629, 36.789448114035174, 120.21592140197754, 36.79164765982085]",1
2-024,"[128.5813343524933, 46.80265929645951, 128.58408093452454, 46.80453933545993]",1
2-025,"[117.50988364219666, 49.534873739862185, 117.5126302242279, 49.53665619816733]",1
