id,bbox,result
5-001,"[113.80970120429993, 41.265589982405714, 113.81244778633118, 41.2676544466459]",0
5-002,"[122.3378598690033, 45.36803662338649, 122.34060645103455, 45.36996620211619]",1
5-003,"[109.07950758934021, 37.90332014935986, 109.08225417137146, 37.905487303845504]",0
5-004,"[116.1045777797699, 41.84075254477034, 116.10732436180115, 41.84279872041725]",1
5-005,"[124.737149477005, 46.20021817767074, 124.73989605903625, 46.202119165239665]",1
5-006,"[98.92746448516846, 37.22208451701344, 98.9302110671997, 37.2242715798341]",0
5-007,"[116.2898325920105, 34.26814059901041, 116.29257917404175, 34.27041037539807]",1
5-008,"[102.947838306427, 25.559729177527423, 102.95058488845825, 25.562206942427306]",1
5-009,"[119.77524518966675, 32.76717660641876, 119.777991771698, 32.769486113560305]",1
5-010,"[123.70550751686096, 46.517871616362605, 123.70825409889221, 46.519761584274555]",1
5-011,"[102.2313129901886, 24.96081975579016, 102.23405957221985, 24.963309772457162]",0
5-012,"[108.43295574188232, 37.43630244742396, 108.43570232391357, 37.438483283161226]",1
5-013,"[117.35082864761353, 38.16763801222128, 117.35357522964478, 38.16979735967228]",1
5-014,"[107.8757643699646, 37.37742996771441, 107.87851095199585, 37.37961251785229]",1
5-015,"[130.17164826393127, 46.29567624425471, 130.17439484596252, 46.29757392643086]",1
5-016,"[115.64141392707825, 42.4455172088127, 115.6441605091095, 42.44754393226062]",0
5-017,"[130.49548745155334, 46.182333794243476, 130.4982340335846, 46.18423540050203]",1
5-018,"[124.63967800140381, 44.411558626483945, 124.64242458343506, 44.413520563686234]",1
5-019,"[111.63407564163208, 39.28821819659641, 111.63682222366333, 39.29034393762564]",1
5-020,"[118.07024002075195, 37.98829076355375, 118.0729866027832, 37.99045541332353]",1
5-021,"[115.9924829006195, 43.41559273278732, 115.99522948265076, 43.417587783208276]",1
5-022,"[113.42519044876099, 38.98443233068513, 113.42793703079224, 38.986567263187204]",1
5-023,"[117.86568403244019, 42.20835923876125, 117.86843061447144, 42.21039361740367]",1
5-024,"[121.87053322792053, 45.51803787621228, 121.87327980995178, 45.51996233126419]",1
5-025,"[130.5496895313263, 46.56112506993272, 130.55243611335754, 46.56301353284614]",1
5-026,"[126.17424488067627, 46.39100520133821, 126.17699146270752, 46.39289957733568]",1
5-027,"[129.71441745758057, 47.69986295779442, 129.71716403961182, 47.701711413960226]",1
5-028,"[117.5187885761261, 38.607363700514945, 117.52153515815735, 38.609509958258975]",1
5-029,"[131.59213542938232, 47.04595064108461, 131.59488201141357, 47.04782216111611]",0
5-030,"[117.78620481491089, 42.29431018977913, 117.78895139694214, 42.29634179804072]",1
5-031,"[114.480060338974, 41.0917479633597, 114.48280692100525, 41.09381791444357]",1
5-032,"[130.17959833145142, 46.29071675651587, 130.18234491348267, 46.29261461055226]",1
5-033,"[114.86934542655945, 41.04907304321196, 114.8720920085907, 41.051144338300944]",1
5-034,"[113.91461849212646, 44.0327603091027, 113.91736507415771, 44.03473491074214]",1
5-035,"[117.88140177726746, 42.675604873740426, 117.8841483592987, 42.67762413702958]",1
5-036,"[112.9358160495758, 39.812401320434766, 112.93856263160706, 39.814511061195574]",1
5-037,"[109.74355816841125, 41.61909181419081, 109.7463047504425, 41.62114506256152]",1
5-038,"[99.15774822235107, 25.735117009656403, 99.16049480438232, 25.737591135375173]",1
5-039,"[122.34754800796509, 44.74847054976754, 122.35029458999634, 44.75042115086031]",1
5-040,"[114.15817379951477, 42.481790387839084, 114.16092038154602, 42.48381593736453]",1
5-041,"[95.33708095550537, 40.7175664228034, 95.33982753753662, 40.71964811918299]",1
5-042,"[109.92252588272095, 41.57195340417462, 109.9252724647522, 41.574008152673294]",1
5-043,"[119.21161651611328, 25.35178276237046, 119.21436309814453, 25.354264811936176]",0
5-044,"[113.84343266487122, 41.295147529744895, 113.84617924690247, 41.297211059190964]",1
5-045,"[114.76234674453735, 35.84870020512996, 114.7650933265686, 35.85092646078085]",1
5-046,"[103.15215826034546, 25.711136584714616, 103.15490484237671, 25.713611209380215]",1
5-047,"[124.56666827201843, 46.669023304201325, 124.56941485404968, 46.67090800812031]",1
5-048,"[131.6629993915558, 47.28724954604524, 131.66574597358704, 47.28911258354441]",1
5-049,"[119.35650944709778, 45.06774687596264, 119.35925602912903, 45.069686672086924]",1
5-050,"[111.3993501663208, 41.98369121701628, 111.40209674835205, 41.98573281554568]",1
5-051,"[130.7204282283783, 46.86092462800163, 130.72317481040955, 46.862802629893174]",1
5-052,"[121.66194319725037, 45.54319342731724, 121.66468977928162, 45.54511702182436]",1
5-053,"[121.57108068466187, 43.783232749807105, 121.57382726669312, 43.78521564683348]",1
5-054,"[91.09382629394531, 44.513591542425054, 91.09657287597656, 44.51555005365852]",1
5-055,"[121.77623748779297, 31.6132523648143, 121.77898406982422, 31.615591340380927]",1
5-056,"[102.14998841285706, 38.994380900604774, 102.1527349948883, 38.996515533047834]",1
5-057,"[110.96392035484314, 25.550969480672933, 110.96666693687439, 25.553447426722265]",1
5-058,"[129.77159142494202, 46.06246698986761, 129.77433800697327, 46.064372737995065]",1
5-059,"[110.52768588066101, 26.324864220620462, 110.53043246269226, 26.32732593964038]",1
5-060,"[131.90778851509094, 47.31999596403337, 131.9105350971222, 47.32185784782745]",1
5-061,"[131.63658499717712, 47.31904317780637, 131.63933157920837, 47.320905095177125]",1
5-062,"[115.39608836174011, 41.49340665103804, 115.39883494377136, 41.49546389611068]",1
5-063,"[97.02516674995422, 40.188725627650776, 97.02791333198547, 40.19082377244833]",1
5-064,"[110.68548560142517, 35.17773711131324, 110.68823218345642, 35.17998205081491]",1
5-065,"[129.89138960838318, 46.10255571533447, 129.89413619041443, 46.10446007916637]",1
5-066,"[116.04962468147278, 43.42243485840735, 116.05237126350403, 43.424429683390784]",1
5-067,"[96.14899635314941, 40.7342506899291, 96.15174293518066, 40.736331864488605]",1
5-068,"[115.86617231369019, 42.46069229108923, 115.86891889572144, 42.46271852351908]",1
5-069,"[96.69053435325623, 40.82304101224303, 96.69328093528748, 40.82511940681336]",1
5-070,"[123.38696837425232, 43.46579968180968, 123.38971495628357, 43.4677930773274]",1
5-071,"[112.41254925727844, 39.08239767949408, 112.41529583930969, 39.08452965445913]",1
5-072,"[109.94460582733154, 38.22902792323161, 109.9473524093628, 38.23118545085519]",1
5-073,"[108.72523069381714, 30.401084431496177, 108.72797727584839, 30.40345334100165]",1
5-074,"[108.47710490226746, 37.50734282314374, 108.4798514842987, 37.50952158707898]",1
5-075,"[118.03816080093384, 42.54753184903645, 118.04090738296509, 42.54955526887777]",1
5-076,"[120.90681552886963, 32.935730073922784, 120.90956211090088, 32.93803519792405]",0
5-077,"[112.57068157196045, 31.87558060064621, 112.5734281539917, 31.877912959879637]",1
5-078,"[114.97788906097412, 42.47758874595514, 114.98063564300537, 42.47961443150147]",1
5-079,"[120.55399775505066, 33.402489185229314, 120.55674433708191, 33.40478206742633]",1
5-080,"[114.14701581001282, 33.90599620764903, 114.14976239204407, 33.908275713667905]",1
5-081,"[113.0684244632721, 34.193106001847724, 113.07117104530334, 34.19537780162895]",1
5-082,"[113.19139838218689, 34.59444498230558, 113.19414496421814, 34.5967059142969]",1
5-083,"[119.67063903808594, 25.939406246211902, 119.67338562011719, 25.941876103839434]",0
5-084,"[115.01667380332947, 43.93084030337951, 115.01942038536072, 43.93281829781873]",1
5-085,"[113.86730432510376, 39.203817388447284, 113.87005090713501, 39.20594568914862]",1
5-086,"[110.77662706375122, 35.393326921397254, 110.77937364578247, 35.3955658909608]",0
5-087,"[120.39862275123596, 46.115356833384276, 120.40136933326721, 46.117260754987]",1
5-088,"[101.19427442550659, 38.58881601838554, 101.19702100753784, 38.59096283081393]",0
5-089,"[87.83772110939026, 43.57361324402123, 87.84046769142151, 43.5756030806568]",1
5-090,"[110.22342681884766, 34.57524224389457, 110.2261734008789, 34.57750369840465]",1
5-091,"[118.08486342430115, 38.13950160641164, 118.0876100063324, 38.14166178710303]",1
5-092,"[105.68376660346985, 37.14294883284811, 105.6865131855011, 37.14513818832939]",1
5-093,"[96.89490795135498, 40.84293734298454, 96.89765453338623, 40.84501511392402]",1
5-094,"[91.03987097740173, 44.49454617990028, 91.04261755943298, 44.496505331093466]",1
5-095,"[124.58519697189331, 46.71541502212837, 124.58794355392456, 46.717298107781936]",1
5-096,"[112.85231351852417, 21.97933436308035, 112.85506010055542, 21.981881297683294]",0
5-097,"[109.96813416481018, 41.56014535987773, 109.97088074684143, 41.56220048393662]",1
5-098,"[118.05810570716858, 31.62380469909588, 118.06085228919983, 31.62614340946145]",1
5-099,"[112.75597929954529, 29.680297783596675, 112.75872588157654, 29.68268399078659]",1
5-100,"[102.93379426002502, 25.10141689470171, 102.93654084205627, 25.103904059589887]",0
5-101,"[119.24180746078491, 45.07687698259108, 119.24455404281616, 45.078816468846334]",1
5-102,"[104.80292916297913, 35.315974379287304, 104.80567574501038, 35.31821549448542]",1
5-103,"[117.28794693946838, 33.89738517985182, 117.29069352149963, 33.8996649161139]",1
