id,bbox,result
N-001,"[114.38690185546875, 38.26406296833961, 114.3896484375, 38.26621945628272]",0
N-002,"[123.321533203125, 42.98455813425606, 123.32427978515625, 42.986567329123346]",0
N-003,"[120.816650390625, 32.047660890608626, 120.81939697265625, 32.04998888314202]",0
N-004,"[104.32891845703125, 26.58361481358586, 104.3316650390625, 26.586071006794253]",0
N-005,"[112.357177734375, 28.287451910503744, 112.35992431640625, 28.28987047142357]",0
N-006,"[117.05657958984375, 32.71335535317754, 117.059326171875, 32.71566625570316]",0
N-007,"[128.551025390625, 49.14398694528848, 128.55377197265625, 49.14578361775003]",0
N-008,"[107.5616455078125, 37.80978395301097, 107.56439208984375, 37.81195385919268]",0
N-009,"[99.613037109375, 28.7315389386663, 99.61578369140625, 28.73394733840369]",0
N-010,"[124.79644775390625, 41.17865397233169, 124.7991943359375, 41.18072118284585]",0
N-011,"[80.1837158203125, 41.06071514018661, 80.18646240234375, 41.06278606873301]",0
N-012,"[102.8759765625, 29.35105768570502, 102.87872314453125, 29.353451668635017]",0
N-013,"[114.5928955078125, 32.49354692775989, 114.59564208984375, 32.49586350791503]",0
N-014,"[113.8018798828125, 30.84800547382288, 113.80462646484375, 30.850363469502344]",0
N-015,"[99.64874267578125, 32.366043209760214, 99.6514892578125, 32.36836306770471]",0
N-016,"[109.11346435546875, 36.862042695087275, 109.1162109375, 36.86424015502008]",0
N-017,"[117.46856689453125, 27.325415075194407, 117.4713134765625, 27.327855149448386]",0
N-018,"[105.9686279296875, 37.655557695625056, 105.97137451171875, 37.65773212628273]",0
N-019,"[104.534912109375, 35.34201475584806, 104.53765869140625, 35.34425514918409]",0
N-020,"[125.15350341796875, 47.80762081718069, 125.15625, 47.809465449477884]",0
N-021,"[104.12567138671875, 26.093788295583913, 104.12841796875, 26.09625490696852]",0
N-022,"[116.8505859375, 39.419220736559545, 116.85333251953125, 39.42134249546522]",0
N-023,"[125.26885986328125, 44.633482344855295, 125.2716064453125, 44.63543682256857]",0
N-024,"[116.7352294921875, 25.239727312333958, 116.73797607421875, 25.242211657212827]",0
N-025,"[105.40008544921875, 31.179909598664132, 105.40283203125, 31.182259396364213]",0
N-026,"[116.87255859375, 33.69006708322201, 116.87530517578125, 33.69235234723729]",1
N-027,"[104.0350341796875, 31.26916089047765, 104.03778076171875, 31.271508470221196]",0
N-028,"[101.88446044921875, 28.53386157228114, 101.88720703125, 28.536274512989912]",0
N-029,"[126.97998046875, 47.13929295458033, 126.98272705078125, 47.14116119721896]",0
N-030,"[121.61041259765625, 39.093831306923654, 121.6131591796875, 39.09596293630548]",0
N-031,"[118.25408935546875, 33.03169299978311, 118.2568359375, 33.03399561940716]",0
N-032,"[113.2305908203125, 28.950475674848008, 113.23333740234375, 28.952879011796636]",0
N-033,"[112.8350830078125, 34.52239858066332, 112.83782958984375, 34.52466147177173]",0
N-034,"[108.4625244140625, 33.55284011095616, 108.46527099609375, 33.555129017422885]",0
N-035,"[110.75042724609375, 34.7009774147201, 110.753173828125, 34.7032354432851]",0
N-036,"[113.1427001953125, 34.908457853981375, 113.14544677734375, 34.91071020549453]",0
N-037,"[106.8914794921875, 35.28374272801906, 106.89422607421875, 35.28598473606575]",0
N-038,"[100.7940673828125, 34.00258128543371, 100.79681396484375, 34.00485820541724]",0
N-039,"[104.8590087890625, 30.840931139029916, 104.86175537109375, 30.843289308584094]",0
N-040,"[110.47027587890625, 26.180088724387293, 110.4730224609375, 26.1825535132993]",1
N-041,"[111.95068359375, 32.33820027152775, 111.95343017578125, 32.3405208437142]",0
N-042,"[124.66461181640625, 42.053371560433604, 124.6673583984375, 42.05541092308214]",0
N-043,"[102.15087890625, 27.800209937418245, 102.15362548828125, 27.80263947977653]",0
N-044,"[126.49658203125, 42.51867517417281, 126.49932861328125, 42.52069952914967]",0
N-045,"[109.32220458984375, 19.730512997022256, 109.324951171875, 19.73309830874779]",0
N-046,"[105.06500244140625, 24.023888028938273, 105.0677490234375, 24.02639666601733]",0
N-047,"[105.18035888671875, 31.379433950595633, 105.18310546875, 31.381778782110974]",0
N-048,"[104.14215087890625, 37.092430683283474, 104.1448974609375, 37.09462150015555]",0
N-049,"[103.73016357421875, 27.13736835979559, 103.73291015625, 27.139812559018218]",0
N-050,"[116.9769287109375, 23.7074093261998, 116.97967529296875, 23.709924101604933]",0
N-051,"[114.01611328125, 25.960514139980198, 114.01885986328125, 25.962983554822685]",1
N-052,"[117.4932861328125, 26.06171761610406, 117.49603271484375, 26.06418490332395]",1
N-053,"[98.272705078125, 29.549566573947924, 98.27545166015625, 29.551955878093022]",0
N-054,"[116.69677734375, 28.700224692776974, 116.69952392578125, 28.70263381376594]",0
N-055,"[109.2041015625, 26.002487141945753, 109.20684814453125, 26.004955675315372]",1
N-056,"[100.48370361328125, 25.787526529117873, 100.4864501953125, 25.789999562873607]",0
N-057,"[112.5439453125, 34.286722590335934, 112.54669189453125, 34.288991865037524]",0
N-058,"[113.28277587890625, 38.908132995967044, 113.2855224609375, 38.91027022759442]",0
N-059,"[102.77984619140625, 33.10994829789429, 102.7825927734375, 33.112248870481594]",0
N-060,"[115.1092529296875, 38.1626358405864, 115.11199951171875, 38.164795336211334]",0
N-061,"[114.80438232421875, 25.81225454527343, 114.80712890625, 25.814727063097394]",0
N-062,"[117.0703125, 32.37300260498656, 117.07305908203125, 32.375322284319346]",0
N-063,"[123.7664794921875, 43.48082639482503, 123.76922607421875, 43.48281929474003]",0
N-064,"[103.4527587890625, 31.854231304426357, 103.45550537109375, 31.85656420395222]",0
N-065,"[110.56640625, 20.03787005395202, 110.56915283203125, 20.040450354169483]",0
N-066,"[107.77587890625, 22.502407459497746, 107.77862548828125, 22.504944902976998]",0
N-067,"[130.48736572265625, 47.28854494625742, 130.4901123046875, 47.29040793812928]",0
N-068,"[102.18109130859375, 36.59347887826919, 102.183837890625, 36.59568403717906]",0
N-069,"[113.06854248046875, 24.304550153825087, 113.0712890625, 24.307053283225912]",0
N-070,"[115.80413818359375, 39.20459056764484, 115.806884765625, 39.20671884491848]",0
N-071,"[104.29595947265625, 30.92343257300735, 104.2987060546875, 30.92578871258702]",0
N-072,"[113.323974609375, 22.304343762932216, 113.32672119140625, 22.30688482518366]",0
N-073,"[127.6446533203125, 46.30330363797423, 127.64739990234375, 46.305201055811956]",0
N-074,"[114.2523193359375, 31.60193125799097, 114.25506591796875, 31.604270517991207]",0
