id,bbox,result
1-001,"[88.0757188796997, 43.566003066948035, 88.07846546173096, 43.567993155023714]",1
1-002,"[122.82272815704346, 44.51958927519858, 122.8254747390747, 44.52154758485225]",1
1-003,"[114.3750250339508, 41.157453225023254, 114.37777161598206, 41.159521104539046]",1
1-004,"[114.06366348266602, 26.173464345889986, 114.06641006469727, 26.175929274892276]",1
1-006,"[90.95616459846497, 44.550532046618144, 90.95891118049622, 44.552489315964976]",1
1-007,"[114.00595307350159, 41.77150371954194, 114.00869965553284, 41.773552108066085]",1
1-009,"[108.75314712524414, 30.420348661279032, 108.75589370727539, 30.422717103319044]",1
1-010,"[110.7645034790039, 35.40849122621174, 110.76725006103516, 35.41072977466342]",0
1-012,"[111.93159699440002, 39.595644221995684, 111.93434357643127, 39.597760600580884]",1
1-013,"[107.5830602645874, 36.847482926982444, 107.58580684661865, 36.84968080554252]",1
1-014,"[122.78753757476807, 42.57007820691271, 122.79028415679932, 42.57210089575478]",1
1-015,"[122.3543930053711, 46.17202237770445, 122.35713958740234, 46.173924340590375]",1
1-017,"[108.26032876968384, 42.10720151303192, 108.26307535171509, 42.10923914633673]",1
1-018,"[118.05995106697083, 42.549729153459836, 118.06269764900208, 42.551752502073796]",1
1-019,"[132.97580122947693, 45.805058198878264, 132.97854781150818, 45.80697281328003]",1
1-020,"[126.83937907218933, 50.59356299730749, 126.84212565422058, 50.59530654287101]",0
1-022,"[119.0124249458313, 37.9489777353149, 119.01517152786255, 37.95114354452406]",1
1-023,"[88.18028211593628, 43.45978016282341, 88.18302869796753, 43.461773756835115]",1
1-025,"[106.29426956176758, 36.274569576828256, 106.29701614379883, 36.276783815044745]",1
1-026,"[114.56088066101074, 41.13180933146429, 114.56362724304199, 41.13387801980936]",1
1-027,"[122.3132050037384, 37.26041727091443, 122.31595158576965, 37.262603221686675]",1
1-030,"[97.42712259292603, 37.11168374148526, 97.42986917495728, 37.11387400160498]",1
1-032,"[121.9433605670929, 30.160119012500402, 121.94610714912415, 30.1624937466275]",1
1-033,"[92.96567559242249, 44.14917232231536, 92.96842217445374, 44.15114304108978]",1
1-034,"[124.72062706947327, 46.20286914614767, 124.72337365150452, 46.20477004199363]",1
1-035,"[103.54288101196289, 25.399456345572126, 103.54562759399414, 25.4019374157261]",1
1-037,"[113.4578812122345, 37.51548733001919, 113.46062779426575, 37.517665856216205]",1
