id,bbox,result
1-001,"[88.0757188796997, 43.566003066948035, 88.07846546173096, 43.567993155023714]",1
1-002,"[122.82272815704346, 44.51958927519858, 122.8254747390747, 44.52154758485225]",1
1-003,"[114.3750250339508, 41.157453225023254, 114.37777161598206, 41.159521104539046]",1
1-004,"[114.06366348266602, 26.173464345889986, 114.06641006469727, 26.175929274892276]",1
1-005,"[88.06118130683899, 43.54176691604462, 88.06392788887024, 43.543757804648344]",1
1-006,"[90.95616459846497, 44.550532046618144, 90.95891118049622, 44.552489315964976]",1
1-007,"[114.00595307350159, 41.77150371954194, 114.00869965553284, 41.773552108066085]",1
1-008,"[115.77955842018127, 41.569031696115296, 115.78230500221252, 41.57108653754834]",1
1-009,"[108.75314712524414, 30.420348661279032, 108.75589370727539, 30.422717103319044]",1
1-010,"[110.7645034790039, 35.40849122621174, 110.76725006103516, 35.41072977466342]",0
1-011,"[106.64582133293152, 37.59194443439517, 106.64856791496277, 37.59412072666312]",1
1-012,"[111.93159699440002, 39.595644221995684, 111.93434357643127, 39.597760600580884]",1
1-013,"[107.5830602645874, 36.847482926982444, 107.58580684661865, 36.84968080554252]",1
1-014,"[122.78753757476807, 42.57007820691271, 122.79028415679932, 42.57210089575478]",1
1-015,"[122.3543930053711, 46.17202237770445, 122.35713958740234, 46.173924340590375]",1
1-016,"[94.29901242256165, 42.072352626487906, 94.3017590045929, 42.07439137955515]",1
1-017,"[108.26032876968384, 42.10720151303192, 108.26307535171509, 42.10923914633673]",1
1-018,"[118.05995106697083, 42.549729153459836, 118.06269764900208, 42.551752502073796]",1
1-019,"[132.97580122947693, 45.805058198878264, 132.97854781150818, 45.80697281328003]",1
1-020,"[126.83937907218933, 50.59356299730749, 126.84212565422058, 50.59530654287101]",0
1-021,"[117.94807076454163, 32.29094193701986, 117.95081734657288, 32.293263720247936]",1
1-022,"[119.0124249458313, 37.9489777353149, 119.01517152786255, 37.95114354452406]",1
1-023,"[88.18028211593628, 43.45978016282341, 88.18302869796753, 43.461773756835115]",1
1-024,"[105.83738207817078, 37.961218793940674, 105.84012866020203, 37.96338424223973]",1
1-025,"[106.29426956176758, 36.274569576828256, 106.29701614379883, 36.276783815044745]",1
1-026,"[114.56088066101074, 41.13180933146429, 114.56362724304199, 41.13387801980936]",1
1-027,"[122.3132050037384, 37.26041727091443, 122.31595158576965, 37.262603221686675]",1
