id,bbox,result
T001,"[107.3419189453125, 26.170229047478475, 107.34466552734375, 26.17269404488788]",1
T002,"[121.4813232421875, 44.2845367060189, 121.48406982421875, 44.28650289955314]",0
T003,"[124.24163818359375, 46.40945776747577, 124.244384765625, 46.411351502899215]",1
T004,"[113.961181640625, 44.048115730823504, 113.96392822265625, 44.05008982075679]",1
T005,"[121.62689208984375, 39.84439484396461, 121.629638671875, 39.84650360241769]",1
T006,"[121.0858154296875, 36.96306042436515, 121.08856201171875, 36.96525497589678]",1
T007,"[105.6170654296875, 37.37888785004525, 105.61981201171875, 37.38107035775657]",0
T008,"[115.10650634765625, 36.04909895906564, 115.1092529296875, 36.05131957502551]",1
T009,"[114.6368408203125, 35.58808520476323, 114.63958740234375, 35.59031875398378]",1
T010,"[110.63232421875, 22.268764039073968, 110.63507080078125, 22.271305748177635]",1
T011,"[125.30731201171875, 45.19752230305683, 125.31005859375, 45.19945769007777]",1
T012,"[118.0645751953125, 33.12375082971021, 118.06732177734375, 33.12605104079945]",1
T013,"[114.58740234375, 41.14970617453725, 114.59014892578125, 41.15177429844499]",1
T014,"[110.6048583984375, 41.914541301823334, 110.60760498046875, 41.91658511622837]",1
T015,"[93.13385009765625, 44.12308489306966, 93.1365966796875, 44.12505648268516]",1
T016,"[123.89556884765625, 45.571755041306055, 123.8983154296875, 45.57367765830109]",1
T017,"[101.43951416015625, 25.26953609822708, 101.4422607421875, 25.272019833438236]",1
T018,"[121.739501953125, 39.66068502219228, 121.74224853515625, 39.662799412187866]",1
T019,"[102.733154296875, 26.698998877374333, 102.73590087890625, 26.70145259031437]",1
T020,"[99.54986572265625, 26.394329964650204, 99.5526123046875, 26.396790205102665]",0
T021,"[112.22259521484375, 35.02324896091337, 112.225341796875, 35.0254981588326]",1
T022,"[95.01251220703125, 42.23868534753649, 95.0152587890625, 42.24071874922667]",0
T023,"[112.37640380859375, 26.152972606566962, 112.379150390625, 26.155437968713553]",1
T024,"[114.06829833984375, 26.177623883345746, 114.071044921875, 26.180088724387293]",1
T025,"[115.81787109375, 34.0094118622566, 115.82061767578125, 34.01168859910852]",1
T026,"[120.9210205078125, 32.81267007090917, 120.92376708984375, 32.8149783969858]",1
T027,"[111.39312744140625, 25.07316070640961, 111.3958740234375, 25.075648445630517]",1
T028,"[103.42254638671875, 23.543845136505837, 103.42529296875, 23.546363054291575]",1
T029,"[116.290283203125, 43.41302868475145, 116.29302978515625, 43.41502381964653]",1
T030,"[95.2734375, 37.33304051804566, 95.27618408203125, 37.33522435930639]",1
T031,"[105.062255859375, 35.447246055511464, 105.06500244140625, 35.44948352703148]",1
T032,"[118.63037109375, 38.04376510743968, 118.63311767578125, 38.04592811939909]",1
T033,"[113.50250244140625, 22.960922315176273, 113.5052490234375, 22.963451264973532]",0
T034,"[120.21514892578125, 36.798288873837045, 120.2178955078125, 36.800488165790796]",1
T035,"[91.65069580078125, 43.2592059294364, 91.6534423828125, 43.26120612479978]",1
T036,"[113.3184814453125, 23.400244245689258, 113.32122802734375, 23.402764905407942]",0
T037,"[112.12646484375, 39.83806817999999, 112.12921142578125, 39.840177132754896]",1
T038,"[101.810302734375, 25.378772315094956, 101.81304931640625, 25.381253810395094]",0
T039,"[100.909423828125, 27.24486252149728, 100.91217041015625, 27.24730436596228]",1
T040,"[115.91400146484375, 22.801503304669687, 115.916748046875, 22.804035225991186]",0
T041,"[111.40960693359375, 34.69194468425018, 111.412353515625, 34.694202959295495]",1
T042,"[100.26123046875, 25.522614647623286, 100.26397705078125, 25.52509317964987]",1
T043,"[108.3251953125, 37.477037796698056, 108.32794189453125, 37.47921744485059]",1
T044,"[111.4453125, 34.78673916270252, 111.44805908203125, 34.788994848251804]",0
T045,"[119.94598388671875, 34.42730166315868, 119.94873046875, 34.42956713470527]",0
T046,"[118.94622802734375, 37.24126187205382, 118.948974609375, 37.24344837865412]",0
T047,"[96.89117431640625, 40.16628125420654, 96.8939208984375, 40.168380093142446]",1
T048,"[111.4837646484375, 35.55680897384459, 111.48651123046875, 35.55904339525895]",1
T049,"[118.58642578125, 34.34343606848294, 118.58917236328125, 34.34570381052938]",1
T050,"[115.94970703125, 42.431565872579164, 115.95245361328125, 42.43359304732315]",1
T051,"[121.300048828125, 42.0370543018838, 121.30279541015625, 42.039094188385945]",1
T052,"[101.2005615234375, 27.576460076262705, 101.20330810546875, 27.578894602667848]",1
